000001	XEROX CORPORATION 
70B3D5	B3 3PS Inc 
70B3D5	B5 Orange Tree Technologies Ltd 
70B3D5	B6 KRONOTECH SRL 
70B3D5	B7 SAICE 
70B3D5	B9 EYEDEA 
70B3D5	BA Apogee Applied Research, Inc. 
70B3D5	BB Vena Engineering Corporation 
70B3D5	BC Twoway Communications, Inc. 
70B3D5	BD MB connect line GmbH Fernwartungssysteme 
70B3D5	BE Hanbat National University 
70B3D5	BF SenSys (Design Electronics Ltd) 
70B3D5	C0 CODESYSTEM Co.,Ltd 
70B3D5	C1 InDiCor 
70B3D5	C2 HUNTER LIBERTY CORPORATION 
70B3D5	C5 Eltwin AS 
70B3D5	C6 Tecnint HTE SRL 
70B3D5	C8 Moduware PTY LTD 
70B3D5	C9 Shanghai EICT Global Service Co., Ltd 
70B3D5	CA M2M Cybernetics Pvt Ltd 
70B3D5	CB Tieline Research Pty Ltd 
70B3D5	CC DIgSILENT GmbH 
70B3D5	CD Engage Technologies 
70B3D5	CF AccEss Ltd 
70B3D5	D0 Alcohol Countermeasure Systems 
70B3D5	D1 RedRat Ltd 
70B3D5	D2 DALIAN  LEVEAR ELECTRIC  CO., LTD 
70B3D5	D3 AKIS technologies 
70B3D5	D4 GETRALINE 
70B3D5	D5 OCEANCCTV LTD 
70B3D5	D6 Visual Fan 
70B3D5	D7 Centum Adetel Group 
70B3D5	D8 MB connect line GmbH Fernwartungssysteme 
70B3D5	DA ACD Elektronik GmbH 
70B3D5	DB Design SHIFT 
70B3D5	DC Tapdn 
70B3D5	DD Laser Imagineering Vertriebs GmbH 
70B3D5	DE AERONAUTICAL  GENERAL INSTRUMENTS LTD. 
70B3D5	DF NARA CONTROLS INC. 
70B3D5	E2 Galileo Tıp Teknolojileri San. ve Tic. A.S. 
70B3D5	E3 CSM MACHINERY srl 
70B3D5	E4 CARE PVT LTD 
70B3D5	E6 SHIZUKI ELECTRIC CO.,INC 
70B3D5	E7 VEILUX INC. 
70B3D5	E8 PCME Ltd. 
70B3D5	E9 Camsat Przemysław Gralak 
70B3D5	EA Heng Dian Technology Co., Ltd 
70B3D5	EB Les distributions Multi-Secure incorporee 
70B3D5	EC Finder SpA 
70B3D5	ED Niron systems  Projects 
70B3D5	EE Kawasaki Robot Service,Ltd. 
70B3D5	EF HANGZHOU HUALAN MICROELECTRONIQUE CO.,LTD 
70B3D5	F0 E-MetroTel 
70B3D5	F1 Data Strategy Limited 
70B3D5	F2 tiga.eleven GmbH 
70B3D5	F3 Aplex Technology Inc. 
70B3D5	F4 Serveron Corporation 
70B3D5	F5 Prolan Process Control Co. 
70B3D5	F7 Cybercom AB 
70B3D5	F8 Dutile, Glines and Higgins Corporation 
70B3D5	F9 InOut Communication Systems 
70B3D5	FC Extant Aerospace 
70B3D5	FE Private 
70B3D5	FF Private 
70B599	Embedded Technologies s.r.o. 
70B7AA	vivo Mobile Communication Co., Ltd. 
70B7E2	Jiangsu Miter Technology Co.,Ltd. 
70B921	Fiberhome Telecommunication Technologies Co.,LTD 
70BAEF	Hangzhou H3C Technologies Co., Limited 
70BBE9	Xiaomi Communications Co Ltd 
70BC10	Microsoft Corporation 
70BF3E	Charles River Laboratories 
70BF92	GN Audio AS 
70C6AC	Bosch Automotive Aftermarket 
70C76F	INNO S 
70C7F2	HUAWEI TECHNOLOGIES CO.,LTD 
70C833	Wirepas Oy 
70C94E	Liteon Technology Corporation 
70C9C6	Cisco Systems, Inc 
70CA4D	Shenzhen lnovance Technology Co.,Ltd. 
70CA9B	Cisco Systems, Inc 
70CD60	Apple, Inc. 
70CD91	TERACOM TELEMATICA S.A 
70D081	Beijing Netpower Technologies Inc. 
70D313	HUAWEI TECHNOLOGIES CO.,LTD 
70D379	Cisco Systems, Inc 
70D4F2	RIM 
70D57E	Scalar Corporation 
70D5E7	Wellcore Corporation 
70D6B6	Metrum Technologies 
70D880	Upos System sp. z o.o. 
70D923	vivo Mobile Communication Co., Ltd. 
70D931	Cambridge Industries(Group) Co.,Ltd. 
70DA9C	TECSEN 
70DB98	Cisco Systems, Inc 
70DDA1	Tellabs 
70DDA8	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD 
70DEE2	Apple, Inc. 
70DEF9	FAI WAH INTERNATIONAL (HONG KONG) LIMITED 
70DF2F	Cisco Systems, Inc 
70E027	HONGYU COMMUNICATION TECHNOLOGY LIMITED 
70E139	3view Ltd 
70E1FD	FLEXTRONICS 
70E24C	SAE IT-systems GmbH  Co. KG 
70E284	Wistron InfoComm(Zhongshan) Corporation 
70E422	Cisco Systems, Inc 
70E56E	Texas Instruments 
70E72C	Apple, Inc. 
70E843	Beijing CW Optical Communication Technology Co.,Ltd. 
70EA1A	Cisco Systems, Inc 
70ECE4	Apple, Inc. 
70EE50	Netatmo 
70EEA3	Eoptolink Technology Inc. Ltd, 
70EF00	Apple, Inc. 
70F087	Apple, Inc. 
70F11C	Shenzhen Ogemray Technology Co.,Ltd 
70F176	Data Modul AG 
70F196	Actiontec Electronics, Inc 
70F1A1	Liteon Technology Corporation 
70F1E5	Xetawave LLC 
70F220	Actiontec Electronics, Inc 
70F35A	Cisco Systems, Inc 
70F395	Universal Global Scientific Industrial Co., Ltd. 
70F754	AMPAK Technology,Inc. 
70F8E7	IEEE Registration Authority 
70F8E7	SHENZHEN Xin JiuNing Electronics Co Ltd 
70F8E7	System Level Solutions (India) Pvt. 
70F8E7	VOXX International 
70F8E7	Dr. Simon Consulting GmbH 
70F8E7	CLIP Inc. 
70F8E7	Beijing Eehuu Technology Co.,Ltd. 
70F8E7	Flexim Security Oy 
70F8E7	Jiangsu NST technology LIMITED 
70F8E7	Eclipse Security 
70F8E7	Kontech Electronics Co., Ltd 
70F8E7	TiVACI CORPORATION PTE LTD 
70F8E7	Photonfocus AG 
70F8E7	Fixstars Corporation 
70F8E7	System-on-Chip engineering 
70F8E7	CUAV 
70F927	Samsung Electronics 
70F96D	Hangzhou H3C Technologies Co., Limited 
70FC8C	OneAccess SA 
70FC8F	FREEBOX SAS 
70FD46	Samsung Electronics Co.,Ltd 
70FF5C	Cheerzing Communication(Xiamen)Technology Co.,Ltd 
70FF76	Texas Instruments 
7403BD	BUFFALO.INC 
74042B	Lenovo Mobile Communication (Wuhan) Company Limited 
7405A5	TP-LINK TECHNOLOGIES CO.,LTD. 
740ABC	JSJS Designs (Europe) Limited 
740EDB	Optowiz Co., Ltd 
7412BB	Fiberhome Telecommunication Technologies Co.,LTD 
741489	SRT Wireless 
7415E2	Tri-Sen Systems Corporation 
741865	Shanghai DareGlobal Technologies Co.,Ltd 
7419F8	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information. 
7419F8	Marmitek 
7419F8	Trend-tech Technology Co., Limited 
7419F8	Symtop Instrument Co. 
7419F8	Essential Trading Systems Corp 
7419F8	Cloudvue Technologies Corporation 
7419F8	Starcor Beijing Co.,Limited 
7419F8	Baudisch Electronic GmbH 
7419F8	Broadanet S.T.M 
7419F8	Quest Payment Systems 
7419F8	Princip a.s. 
7419F8	Tanjarine 
7419F8	IDEXX Laboratories, Inc 
7419F8	Bach Icon ApS 
7419F8	Ansjer Electronics Co., Ltd. 
7419F8	Volacomm Co., Ltd 
7419F8	Private 
741AE0	IEEE Registration Authority 
741AE0	Huano International Technology Limited 
741AE0	Socionext Inc. 
741AE0	NURA HOLDINGS PTY LTD 
741AE0	Philips Personal Health Solutions 
741AE0	Revl Inc. 
741AE0	FUJIAN TAILI COMMUNICATION TECHNOLOGY CO.,LTD 
741AE0	Blocks Wearables Inc. 
741AE0	BÄR Bahnsicherung AG 
741AE0	Broadcast Wireless Systems Ltd 
741AE0	Private 
741AE0	SAIERCOM CORPORATION 
741AE0	SHEN ZHEN YINGJIACHUANG ELECTRONICS TECHNOLOGY CO.,LTD. 
741AE0	bistos.co.ltd 
741AE0	Voltaware Services Limited 
741AE0	ITS Partner (O.B.S) S.L. 
741BB2	Apple, Inc. 
741C27	ITEL MOBILE LIMITED 
741E93	Fiberhome Telecommunication Technologies Co.,LTD 
741F4A	Hangzhou H3C Technologies Co., Limited 
741F79	YOUNGKOOK ELECTRONICS CO.,LTD 
742344	Xiaomi Communications Co Ltd 
74258A	Hangzhou H3C Technologies Co., Limited 
7426AC	Cisco Systems, Inc 
74273C	ChangYang Technology (Nanjing) Co., LTD 
7427EA	Elitegroup Computer Systems Co.,Ltd. 
742857	Mayfield Robotics 
7429AF	Hon Hai Precision Ind. Co.,Ltd. 
742B0F	Infinidat Ltd. 
742B62	FUJITSU LIMITED 
742D0A	Norfolk Elektronik AG 
742EFC	DirectPacket Research, Inc, 
742F68	AzureWave Technology Inc. 
743170	Arcadyan Technology Corporation 
743256	NT-ware Systemprg GmbH 
743400	MTG Co., Ltd. 
7434AE	this is engineering Inc. 
74366D	Vodafone Italia S.p.A. 
74372F	Tongfang Shenzhen Cloudcomputing Technology Co.,Ltd 
74373B	UNINET Co.,Ltd. 
743889	ANNAX Anzeigesysteme GmbH 
7438B7	CANON INC. 
743A65	NEC Corporation 
743E2B	Ruckus Wireless 
743ECB	Gentrice tech 
7440BB	Hon Hai Precision Ind. Co.,Ltd. 
7440BE	LG Innotek 
744401	NETGEAR 
74458A	Samsung Electronics Co.,Ltd 
7445CE	CRESYN 
7446A0	Hewlett Packard 
744AA4	zte corporation 
744BE9	EXPLORER HYPERTECH CO.,LTD 
744D28	Routerboard.com 
744D79	Arrive Systems Inc. 
7451BA	Xiaomi Communications Co Ltd 
745327	COMMSEN CO., LIMITED 
745427	SHENZHEN FAST TECHNOLOGIES CO.,LTD 
74547D	Cisco SPVTG 
745612	ARRIS Group, Inc. 
745798	TRUMPF Laser GmbH  Co. KG 
745933	Danal Entertainment 
745AAA	HUAWEI TECHNOLOGIES CO.,LTD 
745BC5	IEEE Registration Authority 
745BC5	IRS Systementwicklung GmbH 
745BC5	Beijing Inspiry Technology Co., Ltd. 
745BC5	SIGLENT TECHNOLOGIES CO., LTD. 
745BC5	OXON AG 
745BC5	uGrid Network Inc. 
745BC5	SpringCard 
745BC5	Yekani Manufacturing PTY Ltd 
745BC5	SHENZHEN ATX TECHNOLOGY CO.,LTD  
745BC5	EDOMO Systems GmbH 
745BC5	Haikou Frun FlashMcu Microcontrol Technology Development Co.,Ltd 
745BC5	Fournie Grospaud Energie SASU 
745BC5	Smartiply Inc. 
745BC5	ComNot 
745BC5	CELYSS SAS 
745BC5	Qingdao Wintec System Co., Ltd 
745C4B	GN Audio AS 
745C9F	TCT mobile ltd. 
745E1C	PIONEER CORPORATION 
745F00	Samsung Semiconductor Inc. 
745F90	LAM Technologies 
745FAE	TSL PPL 
7460FA	HUAWEI TECHNOLOGIES CO.,LTD 
74614B	Chongqing Huijiatong Information Technology Co., Ltd. 
7463DF	VTS GmbH 
7465D1	Atlinks 
746630	Tmi Ytti 
7467F7	Zebra Technologoes 
746A3A	Aperi Corporation 
746A89	Rezolt Corporation 
746A8F	VS Vision Systems GmbH 
746B82	MOVEK 
746BAB	GUANGDONG ENOK COMMUNICATION CO., LTD 
746EE4	Asia Vital Components Co.,Ltd. 
746F19	ICARVISIONS (SHENZHEN) TECHNOLOGY CO., LTD. 
746F3D	Contec GmbH 
746FF7	Wistron Neweb Corporation 
7470FD	Intel Corporate 
74721E	Edison Labs Inc. 
7472B0	Guangzhou Shiyuan Electronics Co., Ltd.  
7472F2	Chipsip Technology Co., Ltd. 
747336	MICRODIGTAL Inc 
747548	Amazon Technologies Inc. 
747818	Jurumani Solutions 
747B7A	ETH Inc. 
747D24	Phicomm (Shanghai) Co., Ltd. 
747DB6	Aliwei Communications, Inc 
747E1A	Red Embedded Design Limited 
747E2D	Beijing Thomson CITIC Digital Technology Co. LTD. 
748114	Apple, Inc. 
74819A	PT. Hartono Istana Teknologi 
7483C2	Ubiquiti Networks Inc. 
7483EF	Arista Networks 
74852A	PEGATRON CORPORATION 
7485C4	New H3C Technologies Co., Ltd 
74860B	Cisco Systems, Inc 
74867A	Dell Inc. 
7487A9	OCT Technology Co., Ltd. 
7487BB	Ciena Corporation 
74882A	HUAWEI TECHNOLOGIES CO.,LTD 
74888B	ADB Broadband Italia 
7488BB	Cisco Systems, Inc 
748A0D	ARRIS Group, Inc. 
748A69	Korea Image Technology Co., Ltd 
748D08	Apple, Inc. 
748E08	Bestek Corp. 
748EF8	Brocade Communications Systems, Inc. 
748F1B	MasterImage 3D 
748F4D	MEN Mikro Elektronik GmbH 
749050	Renesas Electronics Corporation 
74911A	Ruckus Wireless 
7491BD	Four systems Co.,Ltd. 
7493A4	Zebra Technologies Corp. 
74943D	AgJunction 
7495EC	ALPS ELECTRIC CO.,LTD. 
749637	Todaair Electronic Co., Ltd 
749781	zte corporation 
749975	IBM Corporation 
749C52	Huizhou Desay SV Automotive Co., Ltd. 
749CE3	Art2Wave Canada Inc. 
749D79	Sercomm Corporation. 
749D8F	HUAWEI TECHNOLOGIES CO.,LTD 
749DDC	2Wire Inc 
749EAF	Apple, Inc. 
74A02F	Cisco Systems, Inc 
74A063	HUAWEI TECHNOLOGIES CO.,LTD 
74A2E6	Cisco Systems, Inc 
74A34A	ZIMI CORPORATION 
74A4A7	QRS Music Technologies, Inc. 
74A4B5	Powerleader Science and Technology Co. Ltd. 
74A528	HUAWEI TECHNOLOGIES CO.,LTD 
74A722	LG Electronics 
74A78E	zte corporation 
74AC5F	Qiku Internet Network Scientific (Shenzhen) Co., Ltd. 
74ADB7	China Mobile Group Device Co.,Ltd. 
74AE76	iNovo Broadband, Inc. 
74B00C	Network Video Technologies, Inc 
74B472	CIESSE 
74B57E	zte corporation 
74B587	Apple, Inc. 
74B91E	Nanjing Bestway Automation System Co., Ltd 
74B9EB	JinQianMao Technology Co.,Ltd. 
74BADB	Longconn Electornics(shenzhen)Co.,Ltd 
74BBD3	Shenzhen xeme Communication Co., Ltd. 
74BE08	ATEK Products, LLC 
74BFA1	HYUNTECK 
74BFB7	Nusoft Corporation 
74BFC0	CANON INC. 
74C14F	HUAWEI TECHNOLOGIES CO.,LTD 
74C17D	Infinix mobility limited 
74C246	Amazon Technologies Inc. 
74C330	SHENZHEN FAST TECHNOLOGIES CO.,LTD 
74C621	Zhejiang Hite Renewable Energy Co.,LTD 
74C63B	AzureWave Technology Inc. 
74C99A	Ericsson AB 
74C9A3	Fiberhome Telecommunication Technologies Co.,LTD 
74CA25	Calxeda, Inc. 
74CC39	Fiberhome Telecommunication Technologies Co.,LTD 
74CD0C	Smith Myers Communications Ltd. 
74CE56	Packet Force Technology Limited Company 
74D02B	ASUSTek COMPUTER INC. 
74D0DC	ERICSSON AB 
74D21D	HUAWEI TECHNOLOGIES CO.,LTD 
74D435	GIGA-BYTE TECHNOLOGY CO.,LTD. 
74D675	WYMA Tecnologia 
74D6EA	Texas Instruments 
74D7CA	Panasonic Corporation Automotive 
74D850	Evrisko Systems 
74DA38	Edimax Technology Co. Ltd. 
74DADA	D-Link International 
74DAEA	Texas Instruments 
74DBD1	Ebay Inc 
74DE2B	Liteon Technology Corporation 
74DFBF	Liteon Technology Corporation 
74E06E	Ergophone GmbH 
74E14A	IEEE Registration Authority 
74E14A	Altenburger Electronic GmbH 
74E14A	Cerevo Inc. 
74E14A	KLIMAT SOLEC Sp. z o.o. 
74E14A	emz-Hanauer GmbH  Co. KGaA 
74E14A	open joint stock company YUG-SISTEMA plus 
74E14A	UTU Oy 
74E14A	Emerging Technology (Holdings) Ltd. 
74E14A	APM Technologies (DongGuan) Ltd 
74E14A	aritec gmbh 
74E14A	Kanto Aircraft Instrument Co., Ltd. 
74E14A	AStar Design Service Technologies Co., Ltd. 
74E14A	Loctek Visual Technology Corp. 
74E14A	Wuhan Shenghong Laser Projection Technology Co.,LTD 
74E14A	Knog Pty Ltd 
74E14A	Diamond Kinetics 
74E14A	Private 
74E182	Texas Instruments 
74E19A	Fiberhome Telecommunication Technologies Co.,LTD 
74E1B6	Apple, Inc. 
74E277	Vizmonet Pte Ltd 
74E28C	Microsoft Corporation 
74E2F5	Apple, Inc. 
74E424	APISTE CORPORATION 
74E50B	Intel Corporate 
74E537	RADSPIN 
74E543	Liteon Technology Corporation 
74E5F9	Intel Corporate 
74E60F	TECNO MOBILE LIMITED 
74E6E2	Dell Inc. 
74E7C6	ARRIS Group, Inc. 
74EA3A	TP-LINK TECHNOLOGIES CO.,LTD. 
74EAC8	New H3C Technologies Co., Ltd 
74EACB	New H3C Technologies Co., Ltd 
74EAE8	ARRIS Group, Inc. 
74EB80	Samsung Electronics Co.,Ltd 
74EC42	Fiberhome Telecommunication Technologies Co.,LTD 
74ECF1	Acumen 
74EE2A	SHENZHEN BILIAN ELECTRONIC CO.，LTD 
74F06D	AzureWave Technology Inc. 
74F07D	BnCOM Co.,Ltd 
74F102	Beijing HCHCOM Technology Co., Ltd 
74F413	Maxwell Forest 
74F612	ARRIS Group, Inc. 
74F61C	HTC Corporation 
74F661	Schneider Electric Fire  Security Oy 
74F726	Neuron Robotics 
74F737	KCE 
74F85D	Berkeley Nucleonics Corp 
74F8DB	IEEE Registration Authority 
74F8DB	Enercon Technologies 
74F8DB	GHL Advanced Technology GmbH  Co. KG 
74F8DB	Shenzhen Ruishi Information Technology Co.,Ltd. 
74F8DB	InnoTrans Communications 
74F8DB	WiFi Hotspots, SL 
74F8DB	Provision-ISR 
74F8DB	Shenzhen Melon Electronics Co.,Ltd 
74F8DB	Wuhan Tianyu Information Industry Co., Ltd. 
74F8DB	Songam Syscom Co. LTD. 
74F8DB	Avantree Corporation 
74F8DB	Ballard Technology Inc. 
74F8DB	Capwave Technologies Inc 
74F8DB	TBM CO., LTD. 
74F8DB	Simon Electric (China) Co.,ltd 
74F8DB	Bernard Krone Holding GmbH  Co. KG 
74F8DB	Private 
74F91A	Onface 
74FDA0	Compupal (Group) Corporation 
74FE48	ADVANTECH CO., LTD. 
74FF4C	Skyworth Digital Technology(Shenzhen) Co.,Ltd 
74FF7D	Wren Sound Systems, LLC 
78009E	Samsung Electronics Co.,Ltd 
78028F	Adaptive Spectrum and Signal Alignment (ASSIA), Inc. 
7802B1	Cisco Systems, Inc 
7802B7	ShenZhen Ultra Easy Technology CO.,LTD 
7802F8	Xiaomi Communications Co Ltd 
780473	Texas Instruments 
780541	Queclink Wireless Solutions Co., Ltd 
78055F	Shenzhen WYC Technology Co., Ltd. 
780738	Z.U.K. Elzab S.A. 
780AC7	Baofeng TV Co., Ltd. 
780CB8	Intel Corporate 
780CF0	Cisco Systems, Inc 
780ED1	TRUMPF Werkzeugmaschinen GmbHCo.KG 
780F77	HangZhou Gubei Electronics Technology Co.,Ltd 
781185	NBS Payment Solutions Inc. 
7811DC	XIAOMI Electronics,CO.,LTD 
7812B8	ORANTEK LIMITED 
781881	AzureWave Technology Inc. 
78192E	NASCENT Technology 
7819F7	Juniper Networks 
781C5A	SHARP Corporation 
781D4A	zte corporation 
781DBA	HUAWEI TECHNOLOGIES CO.,LTD 
781DFD	Jabil Inc 
781FDB	Samsung Electronics Co.,Ltd 
782079	ID Tech 
78223D	Affirmed Networks 
782327	Samsung Electronics Co.,Ltd 
7823AE	ARRIS Group, Inc. 
7824AF	ASUSTek COMPUTER INC. 
782544	Omnima Limited 
78257A	LEO Innovation Lab 
7825AD	SAMSUNG ELECTRONICS CO., LTD. 
7828CA	Sonos, Inc. 
7829ED	ASKEY COMPUTER CORP 
782BCB	Dell Inc. 
782C29	New H3C Technologies Co., Ltd 
782D7E	TRENDnet, Inc. 
782EEF	Nokia Corporation 
782F17	Xlab Co.,Ltd 
78303B	Stephen Technologies Co.,Limited 
7830E1	UltraClenz, LLC 
78312B	zte corporation 
7831C1	Apple, Inc. 
78321B	D-Link International 
78324F	Millennium Group, Inc. 
7835A0	Zurn Industries LLC 
783607	Cermate Technologies Inc. 
783690	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd 
7836CC	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD 
783A84	Apple, Inc. 
783CE3	Kai-EE 
783D5B	TELNET Redes Inteligentes S.A. 
783E53	BSkyB Ltd 
783F15	EasySYNC Ltd. 
7840E4	Samsung Electronics Co.,Ltd 
784405	FUJITU(HONG KONG) ELECTRONIC Co.,LTD. 
784476	Zioncom technology co.,ltd 
7844FD	TP-LINK TECHNOLOGIES CO.,LTD. 
784501	Biamp Systems 
784561	CyberTAN Technology Inc. 
7845C4	Dell Inc. 
7846C4	DAEHAP HYPER-TECH 
78471D	Samsung Electronics Co.,Ltd 
7847E3	SICHUAN TIANYI COMHEART TELECOM CO.,LTD 
784859	Hewlett Packard 
78491D	The Will-Burt Company 
784B08	f.robotics acquisitions ltd 
784B87	Murata Manufacturing Co., Ltd. 
784F43	Apple, Inc. 
78510C	LiveU Ltd. 
78521A	Samsung Electronics Co.,Ltd 
78524A	Ensenso GmbH 
785262	Shenzhen Hojy Software Co., Ltd. 
785364	SHIFT GmbH 
7853F2	ROXTON Ltd. 
78542E	D-Link International 
785517	SankyuElectronics 
785712	Mobile Integration Workgroup 
785860	HUAWEI TECHNOLOGIES CO.,LTD 
7858F3	Vachen Co.,Ltd 
78593E	RAFI GmbH  Co.KG 
78595E	Samsung Electronics Co.,Ltd 
785968	Hon Hai Precision Ind. Co.,Ltd. 
785C28	Prime Motion Inc. 
785C72	Hioso Technology Co., Ltd. 
785DC8	LG Electronics 
785F4C	Argox Information Co., Ltd. 
78617C	MITSUMI ELECTRIC CO.,LTD 
786256	HUAWEI TECHNOLOGIES CO.,LTD 
7864E6	Green Motive Technology Limited 
7866AE	ZTEC Instruments, Inc. 
7867D7	Apple, Inc. 
7868F7	YSTen Technology Co.,Ltd 
786A89	HUAWEI TECHNOLOGIES CO.,LTD 
786C1C	Apple, Inc. 
786D94	Palo Alto Networks 
787052	Welotec GmbH 
78719C	ARRIS Group, Inc. 
78725D	Cisco Systems, Inc 
787B8A	Apple, Inc. 
787D48	ITEL MOBILE LIMITED 
787D53	Aerohive Networks Inc. 
787E61	Apple, Inc. 
787F62	GiK mbH 
788038	FUNAI ELECTRIC CO., LTD. 
788102	Sercomm Corporation. 
78818F	Server Racks Australia Pty Ltd 
78843C	Sony Corporation 
7884EE	INDRA ESPACIO S.A. 
78870D	Unifiedgateways India Private Limited 
78886D	Apple, Inc. 
78888A	CDR Sp. z o.o. Sp. k. 
788973	CMC 
788A20	Ubiquiti Networks Inc. 
788B77	Standar Telecom 
788C4D	Indyme Solutions, LLC 
788C54	Eltek Technologies LTD 
788C77	LEXMARK INTERNATIONAL, INC. 
788DF7	Hitron Technologies. Inc 
788E33	Jiangsu SEUIC Technology Co.,Ltd 
78923E	Nokia Corporation 
78929C	Intel Corporate 
7894B4	Sercomm Corporation. 
789682	zte corporation 
789684	ARRIS Group, Inc. 
7898FD	Q9 Networks Inc. 
78995C	Nationz Technologies Inc 
789966	Musilab Electronics (DongGuan)Co.,Ltd. 
78998F	MEDILINE ITALIA SRL 
789C85	August Home, Inc. 
789CE7	Shenzhen Aikede Technology Co., Ltd 
789ED0	Samsung Electronics 
789F4C	HOERBIGER Elektronik GmbH 
789F70	Apple, Inc. 
789F87	Siemens AG I IA PP PRM 
78A051	iiNet Labs Pty Ltd 
78A106	TP-LINK TECHNOLOGIES CO.,LTD. 
78A183	Advidia 
78A2A0	Nintendo Co., Ltd. 
78A351	SHENZHEN ZHIBOTONG ELECTRONICS CO.,LTD 
78A3E4	Apple, Inc. 
78A504	Texas Instruments 
78A5DD	Shenzhen Smarteye Digital Electronics Co., Ltd 
78A683	Precidata 
78A6BD	DAEYEON ControlInstrument Co,.Ltd 
78A6E1	Brocade Communications Systems, Inc. 
78A714	Amphenol 
78A7EB	1MORE 
78A873	Samsung Electronics Co.,Ltd 
78AB60	ABB Australia 
78ABBB	Samsung Electronics Co.,Ltd 
78ACBF	Igneous Systems 
78ACC0	Hewlett Packard 
78AE0C	Far South Networks 
78AF58	GIMASI SA 
78AFE4	Comau S.p.A 
78B213	DWnet Technologies(Suzhou) Corporation 
78B28D	Beijing Tengling Technology CO.Ltd 
78B3B9	ShangHai sunup lighting CO.,LTD 
78B3CE	Elo touch solutions 
78B5D2	Ever Treasure Industrial Limited 
78B6C1	AOBO Telecom Co.,Ltd 
78B6EC	Scuf Gaming International LLC 
78B81A	INTER SALES AS 
78B84B	SICHUAN TIANYI COMHEART TELECOMCO.,LTD 
78BAD0	Shinybow Technology Co. Ltd. 
78BAF9	Cisco Systems, Inc 
78BC1A	Cisco Systems, Inc 
78BDBC	Samsung Electronics Co.,Ltd 
78BEB6	Enhanced Vision 
78BEBD	STULZ GmbH 
78C1A7	zte corporation 
78C2C0	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information. 
78C2C0	Shenzhen ELI Technology co.,ltd 
78C2C0	XRONOS-INC 
78C2C0	RONIX incorporated 
78C2C0	Ningbo Sanxing Electric Co., Ltd. 
78C2C0	Ory Laboratory Co., Ltd. 
78C2C0	ShenZhen TuLing Robot CO.,LTD 
78C2C0	SICHUAN TIANYI COMHEART TELECOMCO.,LTD 
78C2C0	Guangzhou Hongcai Stage Equipment co.,ltd 
78C2C0	Beijing Coilabs technology co.,ltd 
78C2C0	SES 
78C2C0	Ombitron, Inc. 
78C2C0	Wan Chao An (Beijing) Technology Co., Ltd. 
78C2C0	Shanghai Hanyi Technologies Co,.Ltd. 
78C2C0	KORF Inc. 
78C2C0	Huwomobility 
78C2C0	Private 
78C313	China Mobile Group Device Co.,Ltd. 
78C3E9	Samsung Electronics Co.,Ltd 
78C40E	HD Wireless 
78C4AB	Shenzhen Runsil Technology Co.,Ltd 
78C5E5	Texas Instruments 
78C6BB	Innovasic, Inc. 
78CA04	Nokia Corporation 
78CA39	Apple, Inc. 
78CA5E	ELNO 
78CA83	IEEE Registration Authority 
78CA83	DAINCUBE 
78CA83	Excelocity Inc. 
78CA83	APC 
78CA83	Neofon GmbH 
78CA83	Pinhole (Beijing) Technology Co., Ltd. 
78CA83	Huatune Technology (Shanghai) Co., Ltd. 
78CA83	Nomiku 
78CA83	Beijing CarePulse Electronic Technology 
78CA83	IHM 
78CA83	Louroe Electronics 
78CA83	Eksagate Elektronik Mühendislik ve Bilgisayar San. Tic. A.Ş. 
78CA83	Zhejiang Science Electronic Tech Co., Ltd 
78CA83	Elanview Technology Co.,Ltd 
78CA83	Hubei Boyuan Zhijia Network Media Co. Ltd. 
78CA83	Konecranes 
78CB33	DHC Software Co.,Ltd 
78CB68	DAEHAP HYPER-TECH 
78CC2B	SINEWY TECHNOLOGY CO., LTD 
78CD8E	SMC Networks Inc 
78D004	Neousys Technology Inc. 
78D129	Vicos 
78D294	NETGEAR 
78D347	Ericsson AB 
78D34F	Pace-O-Matic, Inc. 
78D38D	HONGKONG YUNLINK TECHNOLOGY LIMITED 
78D5B5	NAVIELEKTRO KY 
78D66F	Aristocrat Technologies Australia Pty. Ltd. 
78D6B2	Toshiba 
78D6F0	Samsung Electro Mechanics 
78D752	HUAWEI TECHNOLOGIES CO.,LTD 
78D75F	Apple, Inc. 
78D800	IEEE Registration Authority 
78D800	Kverneland Group Mechatronics 
78D800	Shenzhen Envicool Information Technology Co., Ltd 
78D800	Shanghai Espacetime Technology Co.,Ltd. 
78D800	Shenzhen Scodeno Technology Co,. Ltd. 
78D800	CS Instruments GmbH 
78D800	Björkviks Consulting AB 
78D800	Alango Technologies Ltd 
78D800	NimbeLink Corp 
78D800	Salunda Ltd 
78D800	SightLine Applications 
78D800	Insignal Co., Ltd. 
78D800	Maddalena S.p.A. 
78D800	Shenzhen Chenzhuo Technology Co., Ltd. 
78D800	Korea Micro Wireless Co.,Ltd. 
78D800	CL International  
78D99F	NuCom HK Ltd. 
78DA07	Zhejiang Tmall Technology Co., Ltd. 
78DA6E	Cisco Systems, Inc 
